Index,ImPE.15,ImPE.17,ImPE.21
1,0.755758626591604,0.802549229758421,0.804970999266331
2,0.809577670837638,0.812137589723837,0.766917044015963
3,0.661406942958859,0.767618297679905,0.698120735820514
4,0.681486340789122,0.711972834293152,0.71075156367136
5,0.707005572828893,0.702060696021621,0.753777963096474
6,0.741413202337168,0.707946951764416,0.733530229327542
7,0.748296677251216,0.726649424868233,0.722750507550872
8,0.700225556727481,0.675148048828965,0.732663870054271
9,0.766956332199102,0.705253648658337,0.729747817455353
10,0.69336287163294,0.609648185949034,0.724847533046651
11,0.656921741512886,0.702825535393158,0.750959217326692
12,0.845948922005926,0.752289893319805,0.743028972706486
13,0.751567299407482,0.766452138705536,0.74849822612125
14,0.791057698621378,0.662843975531978,0.748526262714154
15,0.759052244984832,0.701713459974318,0.750134886874082
16,0.694920116702254,0.658159530280224,0.75202535769808
17,0.746634534367545,0.70429457264668,0.724074033523358
18,0.74899037452917,0.658057136699718,0.734372623967934
19,0.713712644523231,0.628247256296173,0.839347585095088
20,0.739439697129883,0.650946912503219,0.713394753375636
21,0.675135865781289,0.68004333311402,0.771506356268908
22,0.744390394676214,0.621549593672838,0.707508192083565
23,0.71323462597045,0.743871888242704,0.721105309664313
24,0.755024961624971,0.857283745658412,0.729560465119307
25,0.758623247145193,0.837798758751435,0.765781803823008
26,0.760927244448373,0.770145911539802,0.740519305696852
27,0.762042376920358,0.794032512083242,0.738424058968157
28,0.733249791545134,0.877943749248239,0.698211001472369
29,0.713933906760959,0.674554298422596,0.725214844302493
30,0.702039332217407,0.685242791469798,0.7306377733674
31,0.780062486155037,0.679900570891929,0.717926167188939
32,0.755436868175417,0.728927235436938,0.718475995604963
33,0.734373430022848,0.673095357783363,0.734271205008669
34,0.737875619551823,0.668925263554014,0.729531404750622
35,0.762435025248415,0.771018313309842,0.73772135777808
36,0.722155485286597,0.749519466327686,0.748785185026662
37,0.735113475798973,0.758868845007775,0.73504619163269
38,0.739399781773324,0.748184100555579,0.745100909194443
39,0.767268529805508,0.719281479861446,0.766288755744468
40,0.747814958969435,0.738109294712261,0.747837716597488
41,0.814053199771417,0.681247658489101,0.756860009788984
42,0.648897444392643,0.714816327063962,0.745467174762246
43,0.656688332114593,0.697941326832719,0.709422816427603
44,0.711980472532948,0.714433275957827,0.747664625614988
45,0.714213186878554,0.714285638852105,0.727655948721748
46,0.700300703527835,0.706037434330376,0.733795558319792
47,0.666710009345775,0.672621222987907,0.699919806637225
48,0.80480581763694,0.747285828357559,0.700933111827396
49,0.680724593698561,0.815934538250361,0.752101891400799
50,0.733976874168121,0.803066340077119,0.723316863695984
51,0.702775037725487,0.801371248432501,0.739259314963726
52,0.788660294769013,0.755499106731543,0.725661594260921
53,0.754888331254564,0.756045530958722,0.746532477636477
54,0.783173378899967,0.768050657122087,0.727717016335363
55,0.721111556764244,0.74665815372406,0.769791538690939
56,0.729932935401769,0.736315241447938,0.672657151586956
57,0.742449993371373,0.679567986969819,0.754928507442218
58,0.732356172122852,0.711884399128995,0.74801625176271
59,0.7062983872107,0.721973682889658,0.789395869369183
60,0.722849058007475,0.713502094648042,0.782280584641479
61,0.790093044853474,0.624062316817012,0.751139373280465
62,0.728470347804341,0.668130618862474,0.652609032750639
63,0.753875985893912,0.795614314467588,0.734468309650435
64,0.727619365241317,0.75605776941194,0.759296832872175
65,0.752162884797218,0.740035310673871,0.754973950001065
66,0.716840671136021,0.708231638611244,0.732356172131072
